DEGRADED	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
050a0513_2.0868_446o0311_-2.0868.wav	 2.194	 0.000	 0	 8000	0.0000
 050a0513_2.0868_446o0311_-2.0868.wav	 2.194	 0.000	 0	 8000	0.0000
 050a0513_2.0868_446o0311_-2.0868.wav	 2.194	 0.000	 0	 8000	0.0000
 050a0513_2.0868_446o0311_-2.0868.wav	 2.194	 0.000	 0	 8000	0.0000
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.446	 0.000	 0	 8000	8.1000
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.446	 0.000	 0	 8000	8.1000
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.481	 0.000	 0	 8000	8.4680
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.429	 0.000	 0	 8000	1.6880
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.376	 0.000	 0	 8000	1.2120
 445c0206_0.60431_22gc0105_-0.60431.wav	 4.500	 0.000	 0	 8000	0.0000
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.446	 0.000	 0	 8000	8.1000
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.481	 0.000	 0	 8000	8.4680
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.429	 0.000	 0	 8000	1.6880
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.376	 0.000	 0	 8000	1.2120
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.446	 0.000	 0	 8000	8.1000
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.481	 0.000	 0	 8000	8.4680
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.429	 0.000	 0	 8000	1.6880
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.376	 0.000	 0	 8000	1.2120
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.446	 0.000	 0	 8000	8.1000
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.481	 0.000	 0	 8000	8.4680
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.429	 0.000	 0	 8000	1.6880
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.376	 0.000	 0	 8000	1.2120
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.446	 0.000	 0	 8000	8.1000
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.481	 0.000	 0	 8000	8.4680
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.429	 0.000	 0	 8000	1.6880
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.376	 0.000	 0	 8000	1.2120
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.446	 0.000	 0	 8000	8.1000
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.481	 0.000	 0	 8000	8.4680
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.429	 0.000	 0	 8000	1.6880
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.376	 0.000	 0	 8000	1.2120
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.446	 0.000	 0	 8000	8.1000
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.481	 0.000	 0	 8000	8.4680
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.429	 0.000	 0	 8000	1.6880
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.376	 0.000	 0	 8000	1.2120
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.822	 0.000	 0	 8000	0.0000
 445c0206_0.60431_22gc0105_-0.60431.wav	 2.191	 0.000	 0	 8000	0.0000
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.822	 0.000	 0	 8000	0.0000
 445c0206_0.60431_22gc0105_-0.60431.wav	 2.191	 0.000	 0	 8000	0.0000
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.822	 0.000	 0	 8000	0.0000
 445c0206_0.60431_22gc0105_-0.60431.wav	 2.191	 0.000	 0	 8000	0.0000
 445c0206_0.60431_22gc0105_-0.60431.wav	 1.822	 0.000	 0	 8000	0.0000
 445c0206_0.60431_22gc0105_-0.60431.wav	 2.191	 0.000	 0	 8000	0.0000
 420c020h_1.1139_442c0203_-1.1139.wav	 1.172	 0.000	 0	 8000	4.1400
 420c020h_1.1139_442c0203_-1.1139.wav	 1.429	 0.000	 0	 8000	4.6600
 420c020h_1.1139_442c0203_-1.1139.wav	 1.750	 0.000	 0	 8000	24.3040
 420c020h_1.1139_442c0203_-1.1139.wav	 2.213	 0.000	 0	 8000	24.1640
 420c020h_1.1139_442c0203_-1.1139.wav	 2.400	 0.000	 0	 8000	0.0000
